"","�..Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Pages","Issue","Volume","Series","Publisher","Place","Language","Extra","Manual.Tags","Automatic.Tags","Editor","origin_DB"
"readlyc _hyriidae.11","JLIA5IL7","journalArticle",2008,"Arango, Asmed de Jesús, María CeciliaÁlvarez, Luisa FernandaArango, Gloria AlexandraTorres, Orlando ElíMonsalve","CALIDAD DEL AGUA DE LAS QUEBRADAS LA CRISTALINA Y LA RISARALDA, SAN LUIS, ANTIOQUIA","Revista EIA",NA,"1794-1237",NA,"https://www.redalyc.org/articulo.oa?id=149216913009","Las quebradas La Cristalina y La Risaralda son las fuentes que abastecen el acueducto del área urbana del municipio de San Luis, Antioquia. El propósito de este estudio fue elaborar un mapa de calidad de agua que sirva como base de comparación de la evolución de las quebradas y justifique la inversión de los recursos del Municipio en el mejoramiento prioritario de los tramos más críticos. Para establecer la calidad del agua se determinaron indicadores físicos, químicos y biológicos, entre ellos algunas características físicas de las quebradas como tipo de sustrato, cobertura de riberas y hábitats acuáticos, temperatura, conductividad, oxígeno, pH, coliformes y macroinvertebrados acuáticos. A partir de los datos colectados se calcularon los índices BMWP/Col1, ASPT, ETP, índice de dípteros y de equidad. Con los resultados obtenidos del ASPT se construyó el mapa de calidad de agua para ambas quebradas. Las quebradas están bien oxigenadas debido a la turbulencia provocada por la conformación rocosa de su lecho, que a su vez permite la diversidad de macroinvertebrados acuáticos. Sin embargo, algunos tramos de estas corrientes están sometidos a contaminación de origen doméstico y agropecuario, lo cual limita sus condiciones de uso.","2008","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"Water quality; Calidad del agua; mapa de calidad del agua; uses of water.; usos del agua.; water quality map",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.12","2VKGEIUD","journalArticle",2003,"Ramírez, José, RinaParedes, CarlosArenas","Moluscos del Perú","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44911879012","Perú es un país muy diverso, tanto en especies como en hábitats. Según el sistema de Holdridge 84 de 103 zonas de vida están representadas en el país. En este trabajo se reconocen 18 zonas ecológicas de los cuales dos ecosistemas son marinos. La malacofauna peruana cuenta con 1910 especies registradas. La mayor diversidad está en el mar con 1018 especies de las cuales 570 son gasterópodos, 370 son bivalvos, 36 son cefalópodos, 34 son poliplacóforos, 3 son monoplacóforos, 3 escafópodos y 2 son aplacóforos. Las familias con mayor cantidad de especies son Veneridae (57spp.), Muricidae (47spp.), Collumbellidae (40 spp.) y Tellinidae (37 spp.). El 56% de las especies marinas se presentan en la provincia Panameña, el 11 % están presentes sólo en la provincia Peruana y el porcentaje restante están presentes en ambas provincias. Además hay que destacar que 73 especies marinas son endémicas de Perú. El ambiente terrestre también posee una impresionante diversidad malacológica. Hasta la fecha hay 763 especies reconocidas que representa un 2.54% del total mundial estimado para los moluscos terrestres y el 38% de las especies esperadas para America del Sur. Las familias con mayor cantidad de especies son Bulimulidae con 424 spp., Clausiliidae con 75 spp y Systrophiidae con 55 spp. El grupo de moluscos menos diverso es el de las especies dulceacuícolas, hasta la fecha se han reportado 129 especies. En este grupo se han registrado 35 especies endémicas siendo los hidróbidos los que brindan el mayor aporte (14 spp.). Tanto para moluscos marinos como continentales se analiza los factores que afectan la distribución de las especies, su ecología y su conservación. Además, se establece cuales son las regiones menos estudiades y los grupos que requieren de más atención. Adicionalmente, se comenta sobre la historia del estudio de cada uno de los grupos y su utilización.","2003","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"mollusks; conservation; Biodiversity; .; landsnails; Peru; taxonomy.",NA,NA,"readlyc _hyriidae"
"readlyc_anodontites.1","V5CDDQCZ","journalArticle",2003,"Castro Rojas, J. A., G. VRodríguez Pulido","Estudio bioecológico de la almejade agua dulce (anodontites sp)","Orinoquia",NA,"0121-3709",NA,"https://www.redalyc.org/articulo.oa?id=89670204","La almeja de agua dulce,como también los demásbivalvos, tiene la capacidadde incorporar en sus tejidosblandos, cantidades importantesde elementos metálicospresentes en el mediosin que, en principio, sumetabolismo se vea afectado.Este proceso recibe elnombre de bioacumulación.Este hecho conviertea los bivalvos en un buengrupo de bioindicadorescon el fin de establecer elgrado de contaminación delmedio circundante.El presente estudio describeel crecimiento y la mortalidadde las almejas deagua dulce en jaulas sumergidasen un estanquepiscícola destinado a laceba de tilapia roja,Oreochromis sp. Los ejemplaresadultos deAnodontites sp., fuerontraídos del río Meta en laregión de Marayal, colectadosdurante los meses dediciembre, enero y febrero,aprovechando los nivelesmás bajos del río (252 cm,111,2 cm y 112,0 cm) respectivamente,y ubicandolas almejas en los playones,madres viejas y lagunas. Setransportaron en recipientesabiertos sin necesidadde aireación durante treshoras, luego permanecieronen cuarentena en piletas decemento y con recambiopermanente. Bajo las condicionesya descritas, lasalmejas alcanzaron hasta96,15 gr. Presentaron incrementospromedios en153 días de cultivo de0,213 gr/día en peso,0,008 cm/día de longitud,0,007 cm/día en el anchoy 0,002 cm/día de alto. Loanterior supone un cultivocon buenas posibilidadesen la producción debiomasa, máxime si podemosdestinar para su cultivoáreas usadas en la disposiciónde aguas residuales,lagunas de oxidación,canales de desagüe, etc.Durante el ensayo fue evidentela necesidad de mantenerlas almejas en fondoslimosos y de aguas con altaproductividad primaria(fitoplancton). Por ser organismosfiltradores no requierende alimento preparadoya que lo obtienen delplancton, sedimentos y sustanciassuspendidas en elagua. Dada la capacidad defiltración, se considera quelas almejas tienen la capacidadde renovar el agua delos estanques donde se cultiven,mejorando por consiguientelas condicionespara el crecimiento de otrasespecies (peces)","2003","2021-08-11 16:13:01","2021-08-11 16:13:01",NA,NA,NA,NA,NA,NA,"Español",NA,"",NA,NA,"readlyc_anodontites"
"readlyc_anodontites.2","6RVJXMY8","journalArticle",2011,"Mallama Leyton, Angela Inés, Juan RenéGuzmán Alvis","Evaluación de la tasa de aclaración de la almeja dulceacuicola Anodontites tortolis en un medio con coliformes Escherichia coli","Acta Agronómica",NA,"0120-2812",NA,"https://www.redalyc.org/articulo.oa?id=169922363007","","2011","2021-08-11 16:13:01","2021-08-11 16:13:01",NA,NA,NA,NA,NA,NA,"Español",NA,"",NA,NA,"readlyc_anodontites"
"readlyc_anodontites.3","YQFW8SHU","journalArticle",2009,"Lasso, Alejandro, Carlos A.Martínez-Escarbassiere, RafaelCapelo, Juan CarlosMorales-Betancourt, Mónica A.Sánchez-Maya","Lista de los moluscos (Gastropoda-Bivalvia) dulceacuícolas y estuarinos de la cuenca del Orinoco (Venezuela)","Biota Colombiana",NA,"0124-5376",NA,"https://www.redalyc.org/articulo.oa?id=49115088005","Se realizó una revisión bibliográfica y de colecciones en museos, así como de datos originales de los autores, para reconocer las especies dulceacuícolas y estuarinas de moluscos gastrópodos y bivalvos presentes en la cuenca del Orinoco (Venezuela). Se consolida un listado preliminar para la cuenca de 104 especies distribuidas entre la clase Gastropoda (14 familias y 58 especies) y la clase Bivalvia (13 familias y 45 especies). Entre los gastrópodos la familia Ampullaridae fue la más diversa (22 sp.) y entre los bivalvos, Mycetopodidae (16 sp.). Se incluye información sobre la distribución geográfica en las subcuencas de la Orinoquia, además de información de su uso, importancia sanitaria, hábitos ecológicos y tipo de sustrato asociado a las especies.","2009","2021-08-11 16:13:01","2021-08-11 16:13:01",NA,NA,NA,NA,NA,NA,"Español",NA,"geographic distribution; bivalves; bivalvos; distribución geográfica; fresh and brackish water mollusk; gastrópodos; gastropods; moluscos dulceacuícolas y estuarinos; Orinoquia; Venezuela.",NA,NA,"readlyc_anodontites"
"readlyc_anodontites.4","XAMDUU28","journalArticle",2017,"Cruz, Rebeca, Rafael A.Quesada","Taxonomic position and glochidia from the freshwater mussel, Anodonta luteola (Unionoida: Unionidae), in Costa Rica","UNED Research Journal / Cuadernos de Investigación UNED",NA,"1659-4266",NA,"https://www.redalyc.org/articulo.oa?id=515653587005","","2017","2021-08-11 16:13:01","2021-08-11 16:13:01",NA,NA,NA,NA,NA,NA,"Español",NA,"Anodonta luteola; Costa Rica.; glochidium morphology; morfología del gloquidio; posición taxonómica; taxonomic position",NA,NA,"readlyc_anodontites"
"readlyc_anodontites.5","2DPIEDJ8","journalArticle",2016,"López, Gabriel, AdolfoUrcuyo, JaninaVega","Extension of the genus Pseudopeas ( Dysopeas ) (Gastropoda: Subulinidae) from Venezuela to Nicaragua","UNED Research Journal / Cuadernos de Investigación UNED",NA,"1659-4266",NA,"https://www.redalyc.org/articulo.oa?id=515655213028","","2016","2021-08-11 16:13:01","2021-08-11 16:13:01",NA,NA,NA,NA,NA,NA,"Español",NA,"Dysopeas; extensión de género; genus extension; Nicaragua.; Pseudopeas; Subulinidae",NA,NA,"readlyc_anodontites"
"readlyc_anodontites.6","YYU5NQ9I","journalArticle",2003,"Ramírez, José, RinaParedes, CarlosArenas","Moluscos del Perú","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44911879012","Perú es un país muy diverso, tanto en especies como en hábitats. Según el sistema de Holdridge 84 de 103 zonas de vida están representadas en el país. En este trabajo se reconocen 18 zonas ecológicas de los cuales dos ecosistemas son marinos. La malacofauna peruana cuenta con 1910 especies registradas. La mayor diversidad está en el mar con 1018 especies de las cuales 570 son gasterópodos, 370 son bivalvos, 36 son cefalópodos, 34 son poliplacóforos, 3 son monoplacóforos, 3 escafópodos y 2 son aplacóforos. Las familias con mayor cantidad de especies son Veneridae (57spp.), Muricidae (47spp.), Collumbellidae (40 spp.) y Tellinidae (37 spp.). El 56% de las especies marinas se presentan en la provincia Panameña, el 11 % están presentes sólo en la provincia Peruana y el porcentaje restante están presentes en ambas provincias. Además hay que destacar que 73 especies marinas son endémicas de Perú. El ambiente terrestre también posee una impresionante diversidad malacológica. Hasta la fecha hay 763 especies reconocidas que representa un 2.54% del total mundial estimado para los moluscos terrestres y el 38% de las especies esperadas para America del Sur. Las familias con mayor cantidad de especies son Bulimulidae con 424 spp., Clausiliidae con 75 spp y Systrophiidae con 55 spp. El grupo de moluscos menos diverso es el de las especies dulceacuícolas, hasta la fecha se han reportado 129 especies. En este grupo se han registrado 35 especies endémicas siendo los hidróbidos los que brindan el mayor aporte (14 spp.). Tanto para moluscos marinos como continentales se analiza los factores que afectan la distribución de las especies, su ecología y su conservación. Además, se establece cuales son las regiones menos estudiades y los grupos que requieren de más atención. Adicionalmente, se comenta sobre la historia del estudio de cada uno de los grupos y su utilización.","2003","2021-08-11 16:13:01","2021-08-11 16:13:01",NA,NA,NA,NA,NA,NA,"Español",NA,"mollusks; conservation; Biodiversity; .; landsnails; Peru; taxonomy.",NA,NA,"readlyc_anodontites"
"readlyc_anodontites.7","YYAKP2IV","journalArticle",2008,"Rumi, Gustavo A., AlejandraGutiérrez Gregoric, Diego E.Núñez, VerónicaDarrigran","Malacología Latinoamericana: Moluscos de agua dulce de Argentina","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44918831006","Se presenta un estado de situación y una lista actualizada y comentada sobre las especies de moluscos de agua dulce de la República Argentina. Se aborda en Gastropoda y Bivalvia la distribución a nivel de familias; las entidades endémicas, exóticas, invasoras y de importancia sanitaria. Los moluscos relacionados a la cuenca del Plata presentan la mayor riqueza específica. Base de datos: 4 500 registros relevados de las tres colecciones más importantes de la Argentina: MLP, MACN y FML. Además, se incluye información de recolecciones actuales y localidades citadas por otros autores. Hasta el presente han sido descritas 166 especies. De ellas 101 pertenecen a 10 familias de Gastropoda y 65 a 7 de Bivalvia. Las familias que presentan mayor riqueza específica son Lithoglyphidae (22) y Sphaeriidae (25), respectivamente. Sphaeriidae, Cochliopidae, Chilinidae y Lymnaeidae se distribuyen prácticamente en todo el país. Erodonidae y Solecurtidae se registran en ambientes mixohalinos de la provincia de Buenos Aires. Thiaridae y Glacidorbiidae presentan una distribución muy restringida. Especies endémicas de la Argentina: Gastropoda: Ampullariidae (1), Cochliopidae (10), Lithoglyphidae (11), Thiariidae (3), Chilinidae (11), Lymnaeidae (2) y Physidae (2?); Bivalvia: Hyriidae (1?); Etheriidae (1?) y Sphaeriidae (10). Especies de interés sanitario: propagadoras de: Esquistosomiasis, Biomphalaria peregrina, B. straminea y B. tenagophila (Planorbidae); Fasciolasis, Lymnaea viatrix y L. columnella (Lymnaeidae); y dermatitis esquistosómicas, Chilina gibbosa y C. fluminea (Chilinidae). Especies de origen asiático: Corbicula fluminea (Corbiculidae) y Limnoperna fortunei (Mytilidae). Es prioritaria la formación de áreas protegidas para la conservación de especies endémicas, especialmente de la Mesopotamia Argentina.","2008","2021-08-11 16:13:01","2021-08-11 16:13:01",NA,NA,NA,NA,NA,NA,"Español",NA,"Bivalvia; Argentina.; Freshwater molluscs; Gastropoda; Moluscos de agua dulce",NA,NA,"readlyc_anodontites"
"readlyc_anodontites.8","DND8CIDP","journalArticle",2017,"Duarte, Josue Alejandro, EdwardBayona, GermanJaramillo, CarlosParra, MauricioRomero, IngridMora","Identificación de los máximos eventos de inundación marina miocenos y su uso en la correlación y análisis de la Cuenca de Antepaís de los llanos orientales, Colombia","Boletín de Geología",NA,"0120-0283",NA,"https://www.redalyc.org/articulo.oa?id=349649971002","...","2017","2021-08-11 16:13:01","2021-08-11 16:13:01",NA,NA,NA,NA,NA,NA,"Español",NA,"Correlation surfaces; cuenca Llanos; eventos de inundación; flooding events; Llanos basin.; miocene; mioceno; Superficies de correlación",NA,NA,"readlyc_anodontites"
